danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.825,0.663,2,-9.414,1,0.0687,0.423,0.415,0.286,0.417,116.051,audio_features,4TNFLwe6DhtR3Wn1JKMqMJ,spotify:track:4TNFLwe6DhtR3Wn1JKMqMJ,https://api.spotify.com/v1/tracks/4TNFLwe6DhtR3Wn1JKMqMJ,https://api.spotify.com/v1/audio-analysis/4TNFLwe6DhtR3Wn1JKMqMJ,248987,4,Makeba,2HHmvvSQ44ePDH7IKVzgK0,Jain
0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,7sliFe6W30tPBPh6dvZsIH,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326,4,Area Codes,6BgdroP3f57LfPZvWcNWdq,Kaliii
0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,3XKIUb7HzIF1Vu9usunMzc,spotify:track:3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973,4,Maria Maria (feat. The Product G&B),6GI52t8N5F02MxU0g5U69P,Santana
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,See You Again (feat. Kali Uchis),4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4,Daylight,33NVpKoXjItPwUJTMZIOiY,David Kushner
0.571,0.458,4,-9.283,1,0.0258,0.544,9.27e-05,0.123,0.299,132.025,audio_features,5LrN7yUQAzvthd4QujgPFr,spotify:track:5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/tracks/5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/audio-analysis/5LrN7yUQAzvthd4QujgPFr,242485,4,Here With Me,5y8tKLUfMvliMe8IKamR32,d4vd
0.593,0.352,4,-8.296,1,0.0284,0.695,2.22e-05,0.3,0.226,119.988,audio_features,50x1Ic8CaXkYNvjmxe3WXy,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/tracks/50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/audio-analysis/50x1Ic8CaXkYNvjmxe3WXy,220750,3,Those Eyes,69bG9tC62d8oTFC9aTTosn,New West
0.74,0.758,1,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,audio_features,73RbfOTJIjHzi2pcVHjeHM,spotify:track:73RbfOTJIjHzi2pcVHjeHM,https://api.spotify.com/v1/tracks/73RbfOTJIjHzi2pcVHjeHM,https://api.spotify.com/v1/audio-analysis/73RbfOTJIjHzi2pcVHjeHM,189825,4,What It Is (Solo Version),4E2rKHVDssGJm2SCDOMMJB,Doechii
0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,audio_features,7FbrGaHYVDmfr7KoLIZnQ7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,4,Cupid - Twin Ver.,4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY
0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4,Players,6AMd49uBDJfhf30Ak2QR5s,Coi Leray
