danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,SZA
0.852,0.675,1,-6.271,1,0.197,0.0652,3.74e-05,0.36,0.83,99.012,audio_features,5xP9lQYA8YQmQh6BOxcAnR,spotify:track:5xP9lQYA8YQmQh6BOxcAnR,https://api.spotify.com/v1/tracks/5xP9lQYA8YQmQh6BOxcAnR,https://api.spotify.com/v1/audio-analysis/5xP9lQYA8YQmQh6BOxcAnR,215467,4,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
0.56,0.443,3,-8.827,1,0.048,0.324,2.99e-06,0.0989,0.169,149.765,audio_features,36I3zoyOK2pbpakqesPj4U,spotify:track:36I3zoyOK2pbpakqesPj4U,https://api.spotify.com/v1/tracks/36I3zoyOK2pbpakqesPj4U,https://api.spotify.com/v1/audio-analysis/36I3zoyOK2pbpakqesPj4U,189070,4,My Ghost,0xD6n0wj7aqV5g5LcRNBUd,RIELL
0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4,Unholy (feat. Kim Petras),2wY79sveU1sp5g7SokKOiI,Sam Smith
0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,audio_features,2NbsBSshscKIPRG3kwBbfo,spotify:track:2NbsBSshscKIPRG3kwBbfo,https://api.spotify.com/v1/tracks/2NbsBSshscKIPRG3kwBbfo,https://api.spotify.com/v1/audio-analysis/2NbsBSshscKIPRG3kwBbfo,160166,3,Never Felt So Alone,2feDdbD5araYcm6JhFHHw7,Labrinth
0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,audio_features,7ro0hRteUMfnOioTFI5TG1,spotify:track:7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/tracks/7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/audio-analysis/7ro0hRteUMfnOioTFI5TG1,231704,4,WHERE SHE GOES,4q3ewBCX7sLwd24euuV69X,Bad Bunny
0.419,0.618,10,-5.47,0,0.0381,0.196,4.46e-05,0.11,0.122,141.99,audio_features,2brezwPsyNI7vb1Q3z8JpA,spotify:track:2brezwPsyNI7vb1Q3z8JpA,https://api.spotify.com/v1/tracks/2brezwPsyNI7vb1Q3z8JpA,https://api.spotify.com/v1/audio-analysis/2brezwPsyNI7vb1Q3z8JpA,234084,3,guess someone has to die alone,44aoeFCBHXcE6v9hM7dBcl,Meric
0.639,0.723,7,-6.462,0,0.0532,0.511,0.0,0.167,0.878,136.872,audio_features,2i2gDpKKWjvnRTOZRhaPh2,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/tracks/2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/audio-analysis/2i2gDpKKWjvnRTOZRhaPh2,187558,4,Moonlight,1U1el3k54VvEUzo3ybLPlM,Kali Uchis
0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,audio_features,23RoR84KodL5HWvUTneQ1w,spotify:track:23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/tracks/23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/audio-analysis/23RoR84KodL5HWvUTneQ1w,231545,4,(It Goes Like) Nanana - Edit,2mLA48B366zkELXYx7hcDN,Peggy Gou
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,Calm Down (with Selena Gomez),46pWGuE3dSwY3bMMXGBvVS,Rema
0.472,0.81,1,-8.022,0,0.0604,0.0856,4.06e-05,0.166,0.137,100.249,audio_features,5CzK4nw6SEOwx9rK1fs6eX,spotify:track:5CzK4nw6SEOwx9rK1fs6eX,https://api.spotify.com/v1/tracks/5CzK4nw6SEOwx9rK1fs6eX,https://api.spotify.com/v1/audio-analysis/5CzK4nw6SEOwx9rK1fs6eX,155500,4,back to the start,1DUd25ybTBglvAohsXTmBx,Gloria Kim
0.713,0.611,1,-5.993,0,0.0507,0.361,0.0,0.0803,0.173,97.936,audio_features,64BuLY7ggczC17w5LSUlSE,spotify:track:64BuLY7ggczC17w5LSUlSE,https://api.spotify.com/v1/tracks/64BuLY7ggczC17w5LSUlSE,https://api.spotify.com/v1/audio-analysis/64BuLY7ggczC17w5LSUlSE,221520,4,Creepin' (with The Weeknd & 21 Savage),0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,audio_features,3BKD1PwArikchz2Zrlp1qi,spotify:track:3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/audio-analysis/3BKD1PwArikchz2Zrlp1qi,140018,4,Baby Don't Hurt Me,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
0.759,0.567,2,-7.911,1,0.248,0.118,0.0278,0.105,0.421,87.981,audio_features,11xC6P3iKYpFThT6Ce1KdG,spotify:track:11xC6P3iKYpFThT6Ce1KdG,https://api.spotify.com/v1/tracks/11xC6P3iKYpFThT6Ce1KdG,https://api.spotify.com/v1/audio-analysis/11xC6P3iKYpFThT6Ce1KdG,277044,4,Attention,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
