Song,Artist
VAGABUNDO,"Sebastián Yatra, Manuel Turizo & Beéle"
Propiedad Privada,Paulina Rubio
UNHEALTHY,Anne-Marie
Queencard,(G)I-DLE
Butterfly Effect,SEKAI NO OWARI
We Are Young,Fun.
Money,Young Thug
Ci pensiamo domani,Angelina Mango
me,Kelly Clarkson
Utsukushii Hire,Spitz
Doktor,"PA Sports, Sido, Haftbefehl & Alies"
Daylight,Sheppard
Heart They Didn't Break,Maddie & Tae
Someone Like You,Adele
Party In the U.S.A.,Miley Cyrus
Mädchen auf dem Pferd,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate & Ulf Leo Sommer"
slash,yama
Engelbewaarder,Marco Schuitmaker
Religiously,Bailey Zimmerman
Bumsbar,"Ikke Hüftgold, Schürze & DJ Robin"
Jerusalema,Master KG
Que Sera Sera,Mrs. Green Apple
Watermelon Sugar,Harry Styles
Lover,Taylor Swift
Thought You Should Know,Morgan Wallen
Dépassé,Nuit Incolore
Ghosts Again,Depeche Mode
Gorilla,Little Simz
Attention For It Radiates,Ian William Craig
Leave It Alone (Remix),Viking Ding Dong x Ravi B
Middle of a Heart,Adeem the Artist
Shakedhat,"Zahsosaa, D STURDY & DJ Crazy"
If You Only Knew,Gabriels
SMiLE,DOMi & JD BECK
milk crates,Pigeon Pit
Angel Band (Jubilee Version),Tyler Childers
Human Kind,Straw Man Army
Quien encendió la luz,Guitarricadelafuente
Night Shift,Mary Halvorson
Dodinin,Leyla McCalla
Bleed Out,The Mountain Goats
Hype Boy,NewJeans
Feminina,Joyce
Waterfall,Disclosure feat. RAYE
POF,Ari Lennox
The 1975,Next >
Anna Tivel,Part of the Band
Caroline Shaw & Attacca Quartet,Black Umbrella
Beth Orton,First Essay (Nimrod)
DJ Python,Friday Night
Patricia Brennan,Angel
Black Sherif,Unquiet Respect
Madison Cunningham,Kwaku the Traveller
La Doña,Life According To Raechel
Julia Jacklin,Penas Con Pan
Molly Tuttle & Golden Highway,"Love, Try Not To Let Go"
"Black Country, New Road",Crooked Tree
Khruangbin & Leon Bridges,The Place Where He Inserted the Blade
Nduduzo Makhathini,B-Side
KAROL G,Unonkanyamba
Vince Staples,PROVENZA
Tove Lo,When Sparks Fly
Jazmine Sullivan,2 Die 4
Denzel Curry,BPW
beabadoobee,Walkin
Next >,Talk
Atopos,Björk
Afar,Hyd
Don't Forget,Sky Ferreira
Up The Mountain,Regina Spektor
I Ran Down Every Dream,Tommy McLain feat. Elvis Costello
Estas En Mi Pasado,Yahritza y Su Esencia
"Schumann: ""Study in Canonic Form, Op. 56, No. 1",Víkingur Ólafsson
Poland,Lil Yachty
Afraid to Feel,LF System
Shotgun,Soccer Mommy
Antifragile,LE SSERAFIM
Bed Time,Flo Milli
The Heart Part 5,Kendrick Lamar
Home Maker,Sudan Archives
Love Song (Come Back),Fly Anakin
Dora's Lullaby,Julius Rodriguez
That's Where I Am,Maggie Rogers
Gotsta Get Paid,Rico Nasty
Doo Wop,Anna Butterss
Peace Piece,Sean Shibe
Syd feat. Lucky Daye ,Next >
Ice Spice,CYBAH
Joy Orbison x Overmono feat. ABRA ,Munch (Feelin' U)
NxWorries feat. H.E.R. ,Blind Date
Joan Shelley feat. Bill Callahan,Where I Go
Doechii,Amberlit Morning
Julia Bullock,Crazy
Taylor Swift,One by One
Hikaru Utada,Anti-Hero
Koffee,BAD MODE
SiR feat. Scribz Riley,Pull Up
Hermanos Gutiérrez,Life is Good
Porridge Radio,El Bueno y El Malo
Kevin Morby,Back To The Radio
Makaya McCraven,This is a Photograph
Ethel Cain,Dream Another
